	en	fr	es
classroom_introduction	Introduction	Introduction	Introducción
introduction_title1	What it is ?	De quoi s'agit-il ?	¿De que se trata ?
introduction_para1
introduction_title2
introduction_para2
introduction_title3
introduction_para3
introduction_title4
introduction_para4
introduction_title5
introduction_para5
classroom_teaching	Teaching	Enseignement	Enseñanza
classroom_gamification	Gamification	Jeu sérieux	Gamificación
gamification_url	https://view.genial.ly/5ebd550432a04c0d96b6da63	https://view.genial.ly/5ecceb91f02ce30db69f0c5b	https://view.genial.ly/5ebd5bc232a04c0d96b6dbf3
teaching_url	https://docs.google.com/presentation/d/18jbIQzSZbzNl5LCG7t5UVKgZx_jS5IVm8FNnXynz0X0/edit?usp=sharing	https://docs.google.com/presentation/d/18jbIQzSZbzNl5LCG7t5UVKgZx_jS5IVm8FNnXynz0X0/edit?usp=sharing	https://docs.google.com/presentation/d/18jbIQzSZbzNl5LCG7t5UVKgZx_jS5IVm8FNnXynz0X0/edit?usp=sharing
classroom_title	Classroom	Salle de cours	Aula
classroom_title_1	Five ways to spot fake news (Quartz)	C'est quoi une fake news ? (RTS)	¿Qué hacemos con tanta noticia falsa?
classroom_url_1	https://www.youtube.com/embed/y7eCB2F89K8?rel=0	https://www.rts.ch/play/tv/popupvideoplayer?id=9965541	https://www.youtube.com/embed/-FI1Tv-R7ZA?rel=0
classroom_title_2	Helping students fighting disinformation	Comment vérifier une vidéo sur Facebook (France 24)	Guía para identificar noticias falsas
classroom_url_2	https://www.youtube.com/embed/xf8mjbVRqao?rel=0	https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	https://www.youtube.com/embed/Y42V_qjptLA?rel=0
classroom_title_3	How to spot fake news (Factcheck.org)	C'est quoi une fake news ? (1 jour, 1 question)	¿Cómo identificar noticias falsas en redes sociales para no confundir a la sociedad?
classroom_url_3	https://www.youtube.com/embed/AkwWcHekMdo?rel=0	https://www.youtube.com/embed/pAa80STbngQ?rel=0	https://www.youtube.com/embed/WsbS4S5ehaU?rel=0
classroom_title_4	How disinformation works (WIRED)	Comment se répand une fausse information? (RTBF)	Conoce las noticias falsas que marcaron la agenda de este 2018
classroom_url_4	https://www.youtube.com/embed/frjITitjisY?rel=0	https://www.rtbf.be/embed/m?id=2149801&autoplay=0	https://www.youtube.com/embed/jDcI3akPjCE?rel=0
classroom_title_5	Figthing disinformation in the classroom (CBC News)	5 conseils pour débusquer les fakes news (Kombini)	El negocio de las noticias falsas
classroom_url_5	https://www.youtube.com/embed/MeMp_E5dl4M?rel=0	https://www.youtube.com/embed/-5BoejLNc9A?rel=0	https://www.youtube.com/embed/b78JI7-pEVY?rel=0
remote_resources_title	Educational Resources	Ressources pédagogiques	Recursos educativos
user_resources_title	Your content	Votre contenu 	Tu contenido 
display	Display	Afficher	Visualización
user_resources_intro	This section allows you to broadcast your own lessons stored on Internet	Cette section vous permet de diffuser vos propres cours stockés sur Internet.	Esta sección le permite transmitir sus propios videos de Internet.
user_resources_intro_remote	Enter the url of a YouTube, Twitter, Facebook public video or an website (see examples below):	Indiquez l'url d'une vidéo YouTube, Twitter, Facebook (public) ou un site web (voir les exemples ci-dessous):	Ponga la url de un video de YouTube, Twitter, Facebook (público) o un sitio web (ver ejemplos abajo):
api_input	Copy and paste a Youtube, Facebook or Twitter url	Copier et coller une adresse YouTube, Facebook ou Twitter	Copiar y pegar un enlace de YouTube, Facebook o Twitter
close	Close	Fermer	Cerrar
game_resources_title	Gamification	Jeu sérieux	Gamificación
game_resources_intro	Serious game about using the verification plugin	Jeu sérieux sur l'utilisation de l'extension de vérification	Juego serio sobre el uso del plugin de verificación
game_resources_url	  	  	  
examples	Examples :	Exemples :	Ejemplos :
youtube_example	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	Youtube: https://www.youtube.com/embed/5wRv8boqIEc	Youtube: https://www.youtube.com/embed/5wRv8boqIEc
twitter_example	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4	Twitter: https://video.twimg.com/amplify_video/1055750649462308866/vid/640x360/yqQIZj-jHZRxl0i2.mp4
website_example	Website: https://www.invid-project.eu/tools-and-services/invid-verification-plugin/	Site web: https://www.invid-project.eu/tools-and-services/invid-verification-plugin/	Sitio web: https://www.invid-project.eu/tools-and-services/invid-verification-plugin/
glossary_title	Glossary	Glossaire	Glosario
glossary_word_1	Word 1	Mot 1	Palabra 1
glosary_definition_1	definition 1 	definition 1	definición 1
glossary_word_2	Word 2	Mot 2	Palabra 2
glosary_definition_2	definition 2 	definition 2	definición 2
glossary_word_3	Word 3	Mot 3	Palabra 3
glosary_definition_3	definition 3 	definition 3	definición 3
