	en	fr	es	el
checkGIF_title	CheckGIF	CheckGIF	CheckGIF	CheckGIF
checkGIF_description	This feature generates an animated gif image composed of an original image and a tampered one (including if the image has been cropped) to better reveal visually the image manipulation	Cet outil génère une image gif animé composée d'une image originale et une image truquée (y compris si l'image a été recadrée) afin de mieux montrer visuellement la manipulation de l'image.	Esta herramienta genera una imagen gif animada compuesta de una imagen original y una alterada (incluyendo si la imagen ha sido recortada) para revelar mejor visualmente la manipulación de la imagen.	Αυτό το χαρακτηριστικό δημιουργεί μια κινούμενη εικόνα gif αποτελείται από μια πρωτότυπη εικόνα και μιας παραβιασμένης όνη (συμπεριλαμβανομένου του αν έχει περικοπεί η εικόνα) για την καλύτερη αποκαλύψει οπτικά την εικόνα. χειρισμός
cardTitle_images	Images for the GIF	Images du GIF	Imagenes para el GIF	Εικόνες για το GIF
title_image1	First image	Première image	Primera imagen	πρώτη εικόνα
title_image2	Second image	Deuxième image	Segunda imagen	δεύτερη εικόνα
body_droparea	Drop here an image file or click to browse for an image	Glisser et déposer une image ou cliquer pour chercher une image locale	Colocar aquí un archivo de imagen o haga clic para buscar una imagen	Πτώση εδώ ένα αρχείο εικόνας ή κάντε κλικ για να αναζητήσετε μια εικόνα
button_loadImages	Load images	Charger les images	Cargar imágenes	Φόρτωση εικόνων
cardTitle_generatedGIF	Preview of the GIF	Vue préalable du GIF	Vista previa del GIF	Preview του GIF
slider_title	Speed of the animation	Vitesse de l'animation	Velocidad de la animación	Ταχύτητα της κίνησης
slider_label_slow	Slow	Lente	Lento	Αργός
slider_label_fast	Fast	Rapide	Rápido	Γρήγορα
button_download	Download GIF	Télécharger le GIF	Descargar GIF	Λήψη GIF
cardTitle_source	Source of the images			
title_URL	Link mode			
description_URL	The two images are provided with two URL links			
title_local	Local files			
description_local	The two images are provided with two local files			
title_gifcreation	GIF Creation			
text_preview	You need to select the two images on the left and click the button to see the preview			
input_label1	Link of the first image			
input_label2	Link of the second image			
input_placeholder	Paste here the link			
title_preview	Preview of the GIF			
