	en	fr	es	el
about_title	InVID-WeVerify toolkit	Outils InVID-WeVerify	Herramientas InVID-WeVerify	Σετ εργαλείων InVID-WeVerify
source_part_1	This toolkit is provided in open source (under an 	Cet outil est publié en open source (sous une 	Se proporciona este conjunto de herramientas en código abierto (bajo una 	Αυτό το σετ εργαλείων διατίθεται σε λογισμικό ανοικτού κώδικα (υπό 
mit_licence_link	license.html	license.html	license.html	license.html
mit_licence_link_label	MIT Licence 	Licence MIT 	licencia MIT 	Άδεια ΜΙΤ 
source_part_2	by the InVID and WeVerify european projects to help journalists to verify content on social networks (please note that external InVID services used via this interface, such as those presented under the Analysis and Keyframes tabs, are not open-sourced).)	par les projets européens InVID et WeVerify pour aider les journalistes à vérifier les images et les vidéos, notamment sur les réseaux sociaux (note: certains des services externes d'InVID utilisés par cette interface, comme ceux présentés dans les onglets Analyse et Images clés, ne sont pas diffusés en licence open source).)	por los proyectos europeos InVID y WeVerify para ayudar a los periodistas a verificar el contenido de las redes sociales (tenga en cuenta que los servicios InVID externos utilizados a través de esta interfaz, como los que se presentan en las pestañas Analisis e Imágenes claves, no son de código abierto).	από τα Ευρωπαϊκά έργα InVID και WeVerify ώστε να βοηθήσουμε δημοσιογράφους να επαληθεύσουν περιεχόμενο κοινωνικό δικτύων (παρακαλώ σημειώστε ότι εξωτερικές υπηρεσίες που διατίθενται μέσω αυτής της διεπαφής, όπως αυτές που παρουσιάζονται στις ενότητες Ανάλυσης και Βασικών Καρέ δεν είναι ανοικτού λγισμικού).)
description	It has been designed as a verification ''Swiss army knife'' helping journalists to save time and be more efficient in their fact-checking tasks. This is a beta version and we will update it regularly thanks to your feedback.	Il a été conçu comme un ''couteau suisse'' de vérification pour permettre les journalistes à gagner du temps et être plus efficaces dans leur travail de vérification. C'est une version en développement et elle sera mise à jour régulièrement grâce à vos retours.	Se ha diseñado como una ''navaja suiza'' de verificación que ayuda a los periodistas a ahorrar tiempo y a ser más eficientes en sus tareas de verificación de hechos. Esta es una versión beta y la actualizaremos regularmente gracias a sus comentarios.	Έχει σχεδιαστεί ως ένας 'ελβετικό πολυεργαλείο' επαλήθευσης βοηθώντας δημοσιογράφους να εξοικονομήσουν χρόνο και να είναι πιο αποδοτικοί στις εργασίες επαλήθευσης. Αυτή είναι δοκιμαστική έκδοση που θα βελτιώνεται διαρκώς με τη βοήθεια των σχολίων σας.
feedBack_part_1	For any feedback (bugs, enhancement, suggestions) please email us at 	Pour tout retour (problèmes, améliorations, suggestions), merci de nous envoyer un mail à 	Para cualquier comentario (errores, mejoras, sugerencias) por favor envíenos un correo electrónico a 	Για οποιαδήποτε σχόλια (λάθη, βελτιώσεις, προτάσεις) στείλτε μας μήνυμα στη διεύθυνση 
invid_email	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr	invid-verification-plugin@iti.gr
feedBack_part_2	, or leave us a direct message through the	, ou de nous laisser un message via le	, o déjenos un mensaje directo a través del	, ή αφήστε μας ένα μήνυμα μέσω του
feedback_widget	feedback widget	bouton ''feedback''	widget de comentarios (feedback)	εργαλείου σχολίων
