	en	fr	es	el
navbar_tools	Tools	Outils	Herramientas	Εργαλεία
navbar_analysis_video	Video analysis	Analyse Vidéo	Análisis de vídeo	Βίντεο ανάλυση
navbar_analysis_image	Image analysis	Analyse d'image	Análisis de imagen	ανάλυση εικόνας
navbar_keyframes	Keyframes	Images clés	Fotogramas clave	Χαρακτηριστικά καρέ
navbar_thumbnails	Thumbnails	Imagettes	Miniaturas	Μικρογραφίες
navbar_twitter	Twitter search	Recherche Tw.	Búsqueda Tw.	Tw. Αναζήτηση
navbar_magnifier	Magnifier	Loupe	Lupa	Μεγεθυντικός φακός
navbar_metadata	Metadata	Metadonnées	Metadatos	Μεταδεδομένα
navbar_rights	Video rights	Droits vidéo	Derechos de video	Βίντεο δικαιώματα
navbar_forensic	Forensic	Forensic	Forensic	Αυθεντικότητα εικόνων
navbar_twitter_sna	Twitter SNA.	Twitter SNA.	Twitter SNA.	Twitter SNA.
navbar_ocr	OCR	OCR	OCR	OCR
navbar_covidsearch	Factchecks	Vérifications	Factchekcs	Ελέγχοι
navbar_xnetwork	XNetwork	XNetwork	XNetwork	XNetwork
navbar_gif	CheckGif	CheckGif	CheckGif	CheckGif
navbar_twitter_sna_description	performs social network analysis on Twitter (available on registration)	fournit un outil d'analyse de réseau social sur Twitter (sur enregistrement) 	provee una herramiento de análisis de redes sociales en Twitter (disponible con registro)	Η ανάλυση των κοινωνικών δικτύων στο Twitter (διαθέσιμο κατά την εγγραφή)
navbar_analysis_description	brings you the contextual information of a Youtube, Facebook or Twitter video	vous apporte les informations contextuelles d'une vidéo de Youtube, Facebook ou Twitter	le ofrece la información del contexto de un vídeo de Youtube, Facebook o Twitter	Ανάλυση σας φέρνει την συναφείς πληροφορίες από το YouTube, το Facebook ή το Twitter βίντεο
navbar_analysis_image_description	brings you contextual information of an image posted on Facebook or Twitter	vous apportte des informations contextuelles de photos postées sur Facebook ou Twitter	le ofrece la información del contexto de una imagen en Facebook o Twitter	Η ανάλυση εικόνας σας φέρνει την συναφείς πληροφορίες μιας εικόνας
